"bbs_code","age2","metric","n","pooledMEAN","pooledSD","sex","pooledVAR","pooledCV"
"F.","non-adult","tail",103,126,4.58257569495584,"all",21,3.63696483726654
"F.","non-adult","tarsus",174,54.75,2.32002155162397,"all",5.38249999999971,4.23748228607118
"F.","non-adult","winglength",51,338.5,9.31396800509858,"all",86.75,2.7515415081532
"F.","unknown","billlength",139,37.9474055624741,2.14228324334429,"all",4.58937749471374,5.64540107970592
"F.","unknown","tail",23,123.5,3.85342704615007,"all",14.8489000000009,3.1201838430365
"F.","unknown","tarsus",24,51.95,2.11346871280379,"all",4.4667500000005,4.0682747118456
"F.","unknown","winglength",98,331.564393939394,10.7626224701829,"all",115.834042435687,3.2460127404845
"GB","adults","billdepth",305,24.3,1.5953056133544,"all",2.54500000000007,6.56504367635557
"GB","adults","billlength",18,60.05,5.49249487937859,"all",30.1675,9.14653601894852
"GB","adults","tail",221,189.42019088366,8.63056485263773,"all",74.4866496755858,4.55630670224514
"GB","adults","tarsus",236,75.5663312971613,3.76042545253846,"all",14.1407995840991,4.97632396331476
"GB","adults","winglength",424,487.867724690946,16.4940006055757,"all",272.052055976732,3.38083455223941
"GU","adults","billdepth",1437,12.9585334788859,0.84698447337879,"all",0.717382698144746,6.53611363321963
"GU","adults","billlength",1364,47.29859934371,2.72814909416824,"all",7.442797480011,5.76792787106294
"GU","adults","headbill",613,113.144901788566,3.68290731773394,"all",13.5638063110182,3.25503602859296
"GU","adults","tarsus",36,38.57,1.97239701885799,"all",3.8903499999999,5.11381130116151
"GU","adults","winglength",4298,203.253559591084,6.407986777928,"all",41.0622945461,3.15270580786871
"GU","non-adult","billdepth",1107,11.8415256227908,0.66002362354588,"all",0.435631183638634,5.57380564439743
"GU","non-adult","billlength",1087,46.5720998142566,2.70914135638079,"all",7.33944688885276,5.81709084878212
"GU","non-adult","headbill",568,111.289355531686,3.56642702163696,"all",12.7194017006623,3.20464343116941
"GU","non-adult","winglength",1140,198.681418373467,5.56955323263569,"all",31.0199232111627,2.80325824036874
"GU","unknown","billdepth",72,13.1708333333333,0.664801035398285,"all",0.441960416666632,5.04752446996483
"GU","unknown","billlength",69,47.1825757575758,2.33783341635877,"all",5.46546508264373,4.9548660259045
"GU","unknown","tail",57,46.14225,3.73785172258081,"all",13.9715355000003,8.10071403666013
"GU","unknown","tarsus",73,38.9780780780781,1.83855772398197,"all",3.38029450441377,4.71690194754884
"GU","unknown","winglength",158,198.747686746988,8.21158013781214,"all",67.4300483597108,4.13166073639173
"GX","adults","billdepth",188,33.925434981685,2.03927520328836,"all",4.1586433547468,6.01105101346317
"GX","adults","billlength",265,98.5099285714286,3.0869779295865,"all",9.52943273775418,3.13367187891946
"GX","adults","tail",36,221.5,9.91376820386682,"all",98.2828000000008,4.47574185276155
"GX","adults","tarsus",79,66.3226572528883,6.91035739166001,"all",47.7530392804701,10.4193011527129
"GX","adults","winglength",206,492.37225045972,11.3014440596328,"all",127.722637833009,2.29530483269128
"GX","non-adult","billdepth",11,34.25,2.45203996704785,"all",6.01250000000004,7.15924077970177
